id,titre,rms,dB,Peak,StdDev,Score,Danger%,moy_danger
1,Baby Crying Sound Effect.wav,0.11417751866201513,81.15168808448598,0.7337470449172577,0.11412167628153835,56.755520106942896,56,11.25
2,Baby Crying Sound Effect.wav,0.11565634040405118,81.26346402545475,0.9095111448834853,0.11539351177018937,62.09859019209025,62,9.25
3,Baby Crying Sound Effect.wav,0.14557239517343987,83.26164022136307,1.0,0.14519267101735664,66.20850950889236,66,8.25
4,Baby Crying Sound Effect.wav,0.12365175904710751,81.84407622317656,0.8716649780479567,0.12352718720797334,61.35812357486879,61,6.25
5,bebe.wav,0.1370931925888044,82.74038116288651,0.9083042171122125,0.13709250465567985,63.08712907163458,63,5.5
6,bebe.wav,0.18173836513779631,85.18898013234326,0.7732591208255465,0.18161624087730027,60.9056904952497,60,6.5
7,CAA Conversion kit at ZAHAL 🎯 Mepro Tru-Vision.wav,0.04185329947844377,72.43480154950262,0.5353554383320773,0.04177510836955389,45.87008593715445,45,76.0
8,CAA Conversion kit at ZAHAL 🎯 Mepro Tru-Vision.wav,0.03637130226555074,71.2154158311463,0.6005400653102235,0.03624907639718809,47.22734981970899,47,90.0
9,cat.wav,0.20312858290264457,86.15546353513612,1.0,0.20298125575724033,68.52181052919927,68,8.0
10,cri_norm.wav,0.22572662628429804,87.07169429264039,0.9820856349375896,0.22535262864715672,68.79829933812698,68,70.83333333333333
11,cri_norm.wav,0.23768726298656648,87.5201547371283,0.9952696310312205,0.23763457004791944,69.61884222674631,69,65.83333333333333
12,cri_norm.wav,0.26017210376701444,88.30524795909064,1.0,0.25989203410389383,70.51993986571414,70,70.83333333333333
13,cri_norm.wav,0.2490939238487571,87.92729754816598,0.9054841761528367,0.24908068113025736,67.31705792645664,67,90.83333333333333
14,cri_norm.wav,0.2328108916455516,87.34010319173444,0.9808038575395978,0.23280690503502552,69.01629510358222,69,80.83333333333333
15,cri_norm.wav,0.10471274131857375,80.40007353562943,0.6113162633136997,0.10471181501769929,52.59375361401675,52,85.83333333333333
16,Incredible voice artist... Couldn_t tell the difference .wav,0.12664127653917676,82.05157417724958,0.608078871696563,0.12663408935053933,53.59567760880751,53,15.0
17,Incredible voice artist... Couldn_t tell the difference .wav,0.1259371129323282,82.00314363016781,1.0,0.12571408604357623,65.31553917293866,65,20.0
18,screaming in the mic... #asmr #shorts.wav,0.09000329239402902,79.08526443736169,1.0,0.08996493640902033,63.433404503125075,63,10.75
19,screaming in the mic... #asmr #shorts.wav,0.0885041971287049,78.93937547453226,0.7232839624143972,0.08850409602106064,55.04435098266603,55,49.75
20,screaming in the mic... #asmr #shorts.wav,0.052225364693430275,74.3577959413888,0.6589425067685937,0.052189202997218916,50.55517763955771,50,30.75
21,screaming in the mic... #asmr #shorts.wav,0.07717109051060812,77.74920529978316,0.7936773371555981,0.0771146674662968,56.452295583907144,56,20.75
22,screaming in the mic... #asmr #shorts.wav,0.05379617280583156,74.61518905716082,0.6361681796464406,0.053775691758454494,50.00663484742664,50,40.75
23,screaming in the mic... #asmr #shorts.wav,0.04397265503175786,72.86385130200166,0.3535594839942666,0.04390635662937996,40.63045217321626,40,25.75
24,screaming in the mic... #asmr #shorts.wav,0.04257337556218569,72.58296573779633,0.34408345277910496,0.042572825397548496,40.20714638644265,40,50.75
25,screaming in the mic... #asmr #shorts.wav,0.05467744367286677,74.75632289263949,0.4485586876891225,0.05465121870678638,44.452314161865196,44,58.75
26,sing.wav,0.17776022675453862,84.99674077465507,0.706884673678409,0.1777552985033331,58.76034249028096,58,12.5
27,sing.wav,0.15859752889854076,84.00598309289663,0.9458503651311257,0.15842298593318613,65.14636390975615,65,10.5
28,sing.wav,0.265540484168252,88.48264756582508,1.0,0.26553640873147033,70.70378720095944,70,10.5
29,sing.wav,0.22367025706180063,86.99220357093763,0.8728241399898957,0.22325428158239827,65.44669125971988,65,10.5
30,sing2.wav,0.28825164042396245,89.19546588334546,0.8224043715846995,0.28814645170677144,66.1132465350146,66,20.0
31,sing2.wav,0.3205069262886292,90.11677548526197,0.8778527804564449,0.3205067280465748,68.79242816872963,68,13.0
32,test.wav,0.3443238551959528,90.73936747034897,1.0,0.3440439664649248,73.17662631743809,73,99.0
33,test.wav,0.34506918252436797,90.75814867150923,1.0,0.34505856896178666,73.20443084783943,73,100.0
34,shorts #shortsvideo-.wav,0.0966867783460977,79.70743162596264,0.8076402153151588,0.09619270056778767,58.03603312119557,58,70.0
35,shorts #shortsvideo-.wav,0.14301815759120226,83.10788431278114,1.0,0.1428884950867424,66.1009236268473,66,80.0
